"FRS_FACILITY_DETAIL_REPORT_URL","REGISTRY_ID","PRIMARY_NAME","LOCATION_ADDRESS","SUPPLEMENTAL_LOCATION","CITY_NAME","COUNTY_NAME","FIPS_CODE","STATE_CODE","STATE_NAME","COUNTRY_NAME","POSTAL_CODE","FEDERAL_FACILITY_CODE","FEDERAL_AGENCY_NAME","TRIBAL_LAND_CODE","TRIBAL_LAND_NAME","CONGRESSIONAL_DIST_NUM","CENSUS_BLOCK_CODE","HUC_CODE","EPA_REGION_CODE","SITE_TYPE_NAME","LOCATION_DESCRIPTION","CREATE_DATE","UPDATE_DATE","US_MEXICO_BORDER_IND","LATITUDE83","LONGITUDE83","CONVEYOR","COLLECT_DESC","ACCURACY_VALUE","REF_POINT_DESC","HDATUM_DESC","SOURCE_DESC"
"http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110000339072","110000339072","GLEN RESEARCH CORP","22825 DAVIS DRIVE SUITE 100","","STERLING","LOUDOUN","51107","VA","VIRGINIA","USA","20164-4441","","","","","10","511076117003000","02070008","03","STATIONARY","","01-MAR-2000 00:00:00","04-NOV-2011 08:59:08","","38.98744","-77.41446","FRS-GEOCODE","ADDRESS MATCHING-HOUSE NUMBER","30","CENTER OF A FACILITY OR STATION","NAD83",""
"http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110000339081","110000339081","MEDSURG INDUSTRIES INC","101 INTERNATIONAL DRIVE","","STERLING","LOUDOUN","51107","VA","VIRGINIA","USA","20166-9442","","","","","10","511076117003013","02070008","03","STATIONARY","","01-MAR-2000 00:00:00","07-NOV-2011 13:41:00","","38.98373","-77.42554","FRS-GEOCODE","ADDRESS MATCHING-HOUSE NUMBER","50","ENTRANCE POINT OF A FACILITY OR STATION","NAD83",""
"http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110000339090","110000339090","QUARLES PETROLEUM INCORPORATED WARRENTON BULK PLANT","9683 JAMES MADISON HIGHWAY","","WARRENTON","FAUQUIER","51061","VA","VIRGINIA","USA","20187-7813","","","","","01","510619302071052","02070010","03","STATIONARY","","01-MAR-2000 00:00:00","04-DEC-2015 13:46:28","","38.63168","-77.79961","FRS-GEOCODE","ADDRESS MATCHING-HOUSE NUMBER","30","CENTER OF A FACILITY OR STATION","NAD83",""
"http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110000339107","110000339107","TYSON FARMS INC - PROCESSING FACILITY","13264 MOUNTAIN ROAD","","GLEN ALLEN","HANOVER","51085","VA","VIRGINIA","USA","23059-1737","","","","","07","510853204002079","02080206","03","STATIONARY","","01-MAR-2000 00:00:00","04-DEC-2015 13:56:18","","37.697222","-77.5525","FRS-TRIS","INTERPOLATION-PHOTO","25","PLANT ENTRANCE (GENERAL)","NAD83",""
"http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110000340774","110000340774","POSSUM POINT POWER STATION","19000 POSSUM POINT RD","","DUMFRIES","PRINCE WILLIAM","51153","VA","VIRGINIA","US","22026","","","","","","511539009042041","02070011","03","STATIONARY","","01-MAR-2000 00:00:00","04-DEC-2015 14:23:34","","38.5391","-77.2786","EIS","INTERPOLATION-MAP","100","FACILITY CENTROID","NAD83",""
"http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110000340792","110000340792","BP PRODUCTS NORTH AMERICA INC FAIRFAX TERMINAL","9601 COLONIAL AVENUE","","FAIRFAX","FAIRFAX","","VA","VIRGINIA","USA","22031-3614","","","","","11","516003003002007","02070010","03","STATIONARY","","01-MAR-2000 00:00:00","04-DEC-2015 14:29:35","","38.84781","-77.27795","FRS-TRIS","ADDRESS MATCHING-HOUSE NUMBER","30","CENTER OF A FACILITY OR STATION","NAD83",""
"http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110000340809","110000340809","ALEXANDRIA METAL FINISHERS","9418 GUNSTON COVE ROAD","","LORTON","FAIRFAX","51059","VA","VIRGINIA","USA","22079-2314","","","","","11","510594221022008","02070010","03","STATIONARY","","01-MAR-2000 00:00:00","04-DEC-2015 14:20:13","","38.7025","-77.222778","AIRS/AFS","","","","NAD83",""
"http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110000340818","110000340818","CROWN CENTRAL PETROLEUM CORP","8211 TERMINAL RD.","","NEWINGTON","FAIRFAX","51059","VA","VIRGINIA","USA","22122","","","","","11","510594220001006","02070010","03","STATIONARY","","01-MAR-2000 00:00:00","04-DEC-2015 14:20:14","","38.732625","-77.193534","EIS","UNKNOWN","10000","FACILITY CENTROID","NAD83",""
"http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110000340827","110000340827","Q CARD 400 - QUARLES PETROLEUM","8219 TERMINAL ROAD","","LORTON","FAIRFAX","51059","VA","VIRGINIA","USA","22079-1421","","","","","11","510594220001006","02070010","03","STATIONARY","","01-MAR-2000 00:00:00","04-DEC-2015 14:22:17","","38.73129","-77.19288","FRS-TRIS","ADDRESS MATCHING-HOUSE NUMBER","30","CENTER OF A FACILITY OR STATION","NAD83",""
"http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110000340854","110000340854","CREATIVE URETHANES INC","310 NORTH 21ST STREET","","PURCELLVILLE","LOUDOUN","51107","VA","VIRGINIA","USA","20132-3028","","","","","10","511076107021031","02070008","03","STATIONARY","","01-MAR-2000 00:00:00","04-NOV-2011 08:58:12","","39.14084","-77.71907","FRS-GEOCODE","ADDRESS MATCHING-HOUSE NUMBER","30","CENTER OF A FACILITY OR STATION","NAD83",""
"http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110000340863","110000340863","SHENANDOAH'S PRIDE","5325 PORT ROYAL RD.","","SPRINGFIELD","FAIRFAX","51059","VA","VIRGINIA","USA","22151-2159","","","","","11","510594304003010","02070010","03","STATIONARY","","01-MAR-2000 00:00:00","09-JAN-2015 21:35:10","","38.80628","-77.21649","FRS-TRIS","ADDRESS MATCHING-HOUSE NUMBER","30","CENTER OF A FACILITY OR STATION","NAD83",""
"http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110000340872","110000340872","SOUTHERN IRON WORKS INC","6600 ELECTRONIC DRIVE","","SPRINGFIELD","FAIRFAX","51059","VA","VIRGINIA","USA","22151-4300","","","","","08","510594525011014","02070010","03","STATIONARY","","01-MAR-2000 00:00:00","22-JUL-2014 16:56:45","","38.7963","-77.17289","FRS-GEOCODE","ADDRESS MATCHING-HOUSE NUMBER","30","CENTER OF A FACILITY OR STATION","NAD83",""
"http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110000340881","110000340881","SICPA SECURINK CORP","8000 RESEARCH WAY","","SPRINGFIELD","FAIRFAX","51059","VA","VIRGINIA","USA","22153","","","","","11","510594328001036","02070010","03","STATIONARY","","01-MAR-2000 00:00:00","22-JUL-2015 15:54:09","","38.739806","-77.205083","FRS","INTERPOLATION-PHOTO","25","PLANT ENTRANCE (GENERAL)","NAD83",""
"http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110000340890","110000340890","VIASYSTEMS TECHNOLOGIES CORP LLC","1200 SEVERN WAY","","DULLES","LOUDOUN","51107","VA","VIRGINIA","USA","201668904","","","","","10","511076110182012","02070008","03","STATIONARY","","01-MAR-2000 00:00:00","04-DEC-2015 13:57:48","","39.020819","-77.431566","COMMERCIAL VENDOR","ADDRESS MATCHING-HOUSE NUMBER","150","PLANT ENTRANCE (GENERAL)","NAD83",""
"http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110000340907","110000340907","MID-ATLANTIC COCA-COLA BOTTLING CO","5401 SEMINARY ROAD","","ALEXANDRIA","ALEXANDRIA CITY","51510","VA","VIRGINIA","USA","22311-1213","","","","","08","515102001061000","02070010","03","STATIONARY","","01-MAR-2000 00:00:00","04-NOV-2011 09:01:23","","38.84007","-77.12025","FRS-GEOCODE","ADDRESS MATCHING-HOUSE NUMBER","30","CENTER OF A FACILITY OR STATION","NAD83",""
"http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110000340916","110000340916","GENON POTOMAC RIVER GENERATING STATION","1400 NORTH ROYAL STREET","POTOMAC RIVER GENERATING STATION","ALEXANDRIA","ALEXANDRIA CITY","51510","VA","VIRGINIA","USA","22314-1111","","","","","08","515102018013002","02070010","03","STATIONARY","","01-MAR-2000 00:00:00","04-DEC-2015 14:12:44","","38.8198","-77.04146","FRS-GEOCODE","ADDRESS MATCHING-HOUSE NUMBER","30","CENTER OF A FACILITY OR STATION","NAD83",""
"http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110000340925","110000340925","GM POWERTRAIN FREDERICKSBURG PLANT","11032 TIDEWATER TRAIL","","FREDERICKSBURG","SPOTSYLVANIA","51177","VA","VIRGINIA","USA","22408-2043","","","","","01","511770202012004","02080104","03","STATIONARY","","01-MAR-2000 00:00:00","04-DEC-2015 14:17:21","","38.25909","-77.43474","FRS-GEOCODE","ADDRESS MATCHING-HOUSE NUMBER","30","CENTER OF A FACILITY OR STATION","NAD83",""
"http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110000340934","110000340934","INSTEEL WIRE PRODUCTS","1351 BELMAN ROAD","","FREDERICKSBURG","FREDERICKSBURG CITY","51630","VA","VIRGINIA","USA","22401-7078","","","","","01","516300003022029","02080104","03","STATIONARY","","01-MAR-2000 00:00:00","04-DEC-2015 14:15:46","","38.28368","-77.46245","FRS-GEOCODE","ADDRESS MATCHING-HOUSE NUMBER","30","CENTER OF A FACILITY OR STATION","NAD83",""
"http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110000340943","110000340943","QUARLES PETROLEUM - FREDERICKSBURG","3300 BEULAH SALISBURY DR","","FREDERICKSBURG","SPOTSYLVANIA","51630","VA","VIRGINIA","USA","22401","","","","","01","511770202011001","02080104","03","STATIONARY","","01-MAR-2000 00:00:00","10-NOV-2015 14:44:13","","38.284314","-77.451871","FRS-GEOCODE","ADDRESS MATCHING-HOUSE NUMBER","50","ENTRANCE POINT OF A FACILITY OR STATION","NAD83",""
"http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110000340961","110000340961","COLONIAL CIRCUITS INC","1026 WARRENTON ROAD","","FREDERICKSBURG","STAFFORD","51179","VA","VIRGINIA","USA","22406-6200","","","","","01","511790103032017","02080104","03","STATIONARY","","01-MAR-2000 00:00:00","04-DEC-2015 13:58:35","","38.36212","-77.52068","FRS-TRIS","ADDRESS MATCHING-HOUSE NUMBER","30","CENTER OF A FACILITY OR STATION","NAD83",""
"http://ofmpub.epa.gov/enviro/fii_query_detail.disp_program_facility?p_registry_id=110000340970","110000340970","BRAKE PARTS INC.","1000 FALLS RUN DR.","","FREDERICKSBURG","STAFFORD","51179","VA","VIRGINIA","USA","22406","","","","","01","511790103042024","02080104","03","STATIONARY","","01-MAR-2000 00:00:00","04-DEC-2015 14:17:44","","38.35019","-77.49823","FRS-TRIS","ADDRESS MATCHING-HOUSE NUMBER","30","CENTER OF A FACILITY OR STATION","NAD83",""
